InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
6266a3b8-2233-4bca-b648-7fcf5301040a,Donovan asked Trina to go dancing with him.,Trina liked Donovan so she said yes but she was really worried.,After school she ran home to ask her Dad for help.,When her Dad came home she explained the situation and Dad smiled.,Trina's dad scolded Trina.,Trina's dad taught her how to dance.,2
e4cb65fa-0052-496f-8407-91adb01a783f,Ned and his friends went to the fair.,He used the last of his money to buy a fluffy cotton candy.,"As he was walking away, he saw a little boy crying.",He had dropped his cotton candy into a puddle.,So Ned gave him his own cotton candy.,He bought more cotton candy for the boy.,1
7ae98915-03b0-40ae-9cd0-e1051e88c454,Sebastian noticed it was sunny and warm out.,He had chores to do.,He didn't feel like doing his chores.,Sebastian decided that being outdoors was better.,Sebastian felt like staying inside that day.,Sebastian walked outdoors and went for a walk.,2
abb6f801-84a5-4f5c-8acd-41366562540b,Rashid was an excellent car driver.,One day Rashid's brother was late for work.,Rashid offered to drive his brother.,They got there with time to spare.,"His brother yelled at him, and slammed the door.",His brother was grateful.,2
7eb48737-de7e-4935-ad07-fb6bd6323923,Ali went to a fast food place and paid with her credit card.,The cashier took a very long time bringing her card back.,"A few days later, Ali found unusual transactions on her card.","She called her bank, who reversed the charges.",She wondered if the cashier had stolen her information.,She made sure to thank the fast food cashier.,1
ca091eda-e978-4722-b8c3-8fd607ab6ff7,I was looking for a nice painting for my living room.,Hence yesterday I went out looking.,I finally found a beautiful one I loved.,The painting was of a waterfall.,I decided not to buy the painting because I didn't like it.,I purchased it and brought it home.,2
fa858dfd-9b76-4b82-9c28-d6af70649a5c,I was wanting to get a promotion.,I decided to try to get promoted.,"All year, I worked very hard.",My boss took notice and called me into his office one day.,My boss fired me on the spot.,I received the promotion I wanted.,2
1cb827d2-5dca-4618-8787-770e5b31e5fa,Dan was walking home from school and saw the window display.,There was a train set in the window of the store.,Dan wished so badly that he could own this train set.,When Dan got home his mother told him she had a surprise.,She gave Dan the train.,Dan's mother told him to get ready for school.,1
0d6425fa-bf7d-47e9-803c-4918ebbfe1de,Gina wanted to steal her mother's house key.,She waited until her mother was taking a nap.,She took her mom's purse to the bathroom.,She removed the key from the chain quietly.,Then Gina placed the purse right back where she found it.,Then Gina told her mom where the key was.,1
5869b273-6f8c-471c-a269-a976c4a2a2ba,There was a man from kentucky.,He loved a girl who lived in Louisiana.,He decided he needed to move.,He moved to be with his love.,The man moved to Texas.,The man moved to Kentucky.,2
eb063789-2d4d-49ab-ab4b-bdccc21ad5c8,Tim was failing math class.,He knew if he didn't pass he would have to go to summer school.,He studied hard and asked for extra credit.,On the last day of school he found out he passed!,Tim was thrilled.,Tim was terribly disappointed.,1
e45ad242-95e8-4d1f-98df-068e883d7224,Mary-Anne was feeling lonely and decided to adopt a cat.,She went to her local humane society to start the process.,"While she was looking, one of the cats meowed at her.","Mary-Anne pet the cat, and it was love at first sight.",She decided it was not the right cat.,She took the cat home with her.,2
51a5d37a-b747-4b2b-ae86-77417dfd37bf,I took gymnastics as a child.,I was learning the balance beam and doing moves on it.,"As I did a round off flipping off the beam, I landed wrong.",I broke my ankle and was in so much pain!,I was rushed to the hospital.,I got up and got right back on the balance beam.,1
0f00cda0-7624-4e4f-bbf6-b3b185448063,There were six puppies running around my foyer.,It was going to be hard to choose the one we wanted to buy.,Each of my daughters picked out a different pup.,The owner said we could get a discount on two dogs.,We each bought one dog.,We did not like the dogs.,1
f8dce44f-2d2d-435b-9c0b-613d2011882f,Johnny wanted a change from his big city life in Boston.,He decided he would be happier in America's Heartland.,"Finally the day had arrived, Johnny moved to Idaho.",He had escaped the big city life.,Johnny began planning to move to Boston.,Johnny was happy to be in a small town.,2
f4afa99a-a6b4-4023-bce9-3c5772ccbb3d,Joan hated going home for Christmas.,She knew that her mother would hound her about her love life.,This year on her way home she was in a car accident.,Her mother raced to her side to care for her needs.,Joan's mother didn't speak with her because she was unmarried.,Joan felt good at seeing her mother's face.,2
10580bae-a7cf-483f-aa01-49626781a87e,I spend all of my time working on my writing.,As a result I have begun to feel quite lonely.,I've decided to join an online dating community.,"As I join, I realize that I don't particularly like other people.",I began to write more.,I went on many dates.,1
72afc487-caed-42ff-b8cd-fc14176348fe,My daughter was a girl scout in elementary school.,One day she went on an overnight field trip.,My wife went as a chaperone.,Everyone stayed in a cabin in New Hampshire for a weekend.,My daughter never forgot her field trip.,My wife and I had dinner that night.,1
115cd979-a1f5-460d-90ff-4c1fc637f930,Today was the club opening of a new club around the corner.,I couldn't wait to attend.,As we got in the club it was beautiful.,We ordered delicious food and danced.,We befriended the bouncer so we would get into the club tomorrow.,The bouncer did not allow us into the club.,1
34f11687-2858-4acc-9f91-968cb6d4a1d2,Yesterday I was carrying a new glass into the kitchen.,To my surprise I dropped it.,The glass shattered.,I had to pick it up.,I cut myself on a small piece.,I loved the way the glass looked now.,1
90d91e34-19ae-4ab5-836a-ef991863d531,Allison decided she wanted to learn more about her area's history.,She went down to the library to check out a book on it.,She went inside and couldn't understand how the books were sorted.,She found a librarian who explained the dewey decimal system.,That helped her figure out which car she didn't want.,That helped her find what she wanted.,2
4b43c037-c52a-4076-af93-caf125331695,Sebastian wanted to play football on his friends team.,He talked to his friend and found out he needed to go to practice.,He practiced catching the football at home all week.,He went to the next practice and scored a touchdown.,Sebastian was disappointed in hit performance.,Sebastian was happy that his practice paid off.,2
bee156cd-7812-4c67-ba93-1b2c497ee364,Once there was a mother who was desperate for her baby to sleep.,She walked him around but still he did not sleep.,She fed him but still he did not sleep.,"Finally, she remembered the lullaby her mother had sung to her.",The mother gently sung the lullaby to her baby.,The mother played some hip hop for her baby.,1
33ccaec6-8ae3-4569-8a79-05ccb6b27184,Johnny used to pee in swimming pools  as a kid.,He thought he could do it as an adult.,He took his kids to a water park.,Next he peed in the wading pool.,Some people noticed and Johnny got in trouble.,Everyone was really happy because of Johnny's behavior.,1
ae768ce1-26e7-4d76-8a2e-2a53bdd8d8fc,Amy watched the other kids play and stared at her inhaler.,Because of asthma she couldn't play sports.,She felt her art teacher's hand on her shoulder.,Her teacher smiled and told Amy she would be a great artist one day.,Amy felt so much better.,Amy felt terrible.,1
958ba547-7970-4a46-b969-c98dec34907a,Joe and his friends had their soccer game today.,Joe was nervous.,He was nervous if he would win or not.,"Finally after the game, Joe's team won.",Joe was very proud of his team.,Joe was very disappointed in his team.,1
2a1b4844-f9c5-4c5c-92e6-bd9b278739c2,Mark had a big interview for a new job.,He prepared himself for the questions they may ask.,The interviewer seemed to be impressed with Mark's answers.,The interviewer informed Mark he had the job.,Mark was very happy.,Mark was enraged and stormed out.,1
240e4087-d102-42d2-a7e7-07c116811129,Elaine did not feel like cooking tonight.,"Therefore, Elaine decided that she would go out to eat.","However, Elaine did not know where she wanted to eat.",Elaine deliberated on where she should go for almost an hour.,Elaine found it easy to make up her mind.,Elaine found it difficult to make up her mind.,2
b358c39f-5c1a-4274-890e-e7ef1b44cc09,Sam was trying to get into the college of his dream.,He spent a long time filling out the application.,It made him feel good about his academic achievements.,He submitted the application.,3 months later he received an acceptance letter.,He never thought of it again.,1
8af86cec-fa88-4a5f-932d-3113fb225eac,Matt decided to go bar hopping with his two friends one night.,They drank 3 shots in one bar.,"They went to 4 more, drinking 3 shots in each.",Matt ended up getting too drunk and lost his phone.,Matt and friends walked home and slept it off.,Matt did not care about the missing phone.,1
c71f92f5-d1e8-490e-8226-af55bd39ed69,Bindu planned a party with her friends.,They met at her house to discuss what food and band to use.,One of Bindu's friends brought samosas and doogh.,Four friends played music at the party.,Everyone had a great time.,Bindu hates her friends and parties.,1
248a69a6-117f-4512-92db-7bde99a2ab0b,Tyler wakes up and needs to shower before school.,His little brother is using the shower.,Tyler is worried he will miss the bus.,Finally it is Tyler's turn to shower.,Tyler made cupcakes to show off his baking skills.,Tyler takes a quick shower and gets to the bus stop on time.,2
e33c53cd-ef8a-4db1-9c32-f959915e58af,Thomas had been feeling under the radar lately.,He went to his doctor to get a checkup.,His doctor told him that his cholesterol levels were a little bit high.,Thomas started eating healthier and going on walks.,He was diagnosed with diabetes after gaining forty pounds.,His doctor was very pleased at his next checkup.,2
2ad820ab-e57f-4652-bd55-8d65676cc26a,The doorbell rang but no one was there.,She was unsure as to whether she should open the door or not.,Slowly she creaked open the door and peered outside.,Her brother leaped out at her and gave her a good scare.,She decided to watch her favorite comedy show on Netflix.,She screamed and pushed her brother away.,2
17701a43-538d-43de-8115-113ff7211818,Stephanie wanted to make applesauce.,She decided to drive to the farm market to pick some delicious apples.,As she was walking through the orchard she tripped and fell.,She broke both of her wrists.,Stephanie pushed herself up with her hands.,Stephanie could not get up until someone found her.,2
a4d8103f-fb5b-47b5-9bb0-619a13fff746,Roy couldn't figure out why his apartment smelled so bad.,His friends commented on it when they went over.,Everyone decided to look for the source.,It turned out to be an old fish in the refrigerator.,Roy decided to leave the fish in the refrigerator.,Roy threw out the old fisher and everything smelled better.,2
d55d516a-381b-448f-a955-de72d53f50db,Jimmy grew up very poor.,"However, his parents always did his best to provide for him.","When he got into a good college, they worked two jobs to afford it.","When he graduated, he wanted to show his appreciation.",So he repaid them for college.,Jimmy called his parents and cursed at them.,1
aff4c215-48cf-46b6-9e7d-0f66bab8fe98,Jill was surprised when a handsome boy asked her to the college dance.,"As her roommates got ready, Jill fussed about her hair.",Jill's roommates said they could help.,Jill finished dressing into her toga-like white gown.,Her date arrived and complimented her appearance.,Jill and her friends had a fun girls-only night out.,1
cd3eb218-2b2d-462e-b33e-2747b8dfaeb3,A bar owner put out a large banner to advertise his bar.,The wind was strong and blew the banner away.,The owner chased his banned across town.,It landed in the backyard of an old woman.,The old woman refused to give back the banner.,The old woman was delighted to find the fur coat.,1
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d3,My mother has a recipe for pumpkin bars that I like quite a lot.,She once made them for me because I was having a bad day.,I ate the pumpkin bars and I felt much better.,The bars reminded me that my mother cares about me.,I never ate pumpkin bars after that day.,I made pumpkin bars later in life and they reminded me of my mom.,2
ddb2a703-b9a5-4462-98c2-eb6705f1430f,Tim decided to spend more time with his granddad.,"His grandpa loved birdwatching, so Tim watched with him.",They marked their sightings in a notebook.,Soon Tim was really interested!,Tim decided he wasn't interested in birds anymore.,Tim and his grandad found a hobby that they both enjoyed.,2
577c1232-e3bd-4650-8f6f-17d941d9cb6b,Danny was working at the local ice cream shop this summer.,He was very excited to have started his first job.,On his first day a little boy dropped his ice cream on the floor.,"Without hesitation, Danny knew just what to do.",He gave him another scoop of ice cream.,He refused to give him another scoop.,1
7d5f167f-0f44-4bed-bf1d-7c6a1fbaa6db,Laurence and his family decided to move.,First they packed up their furniture.,They then packed up everything else.,All their belongings were moved into the van.,Laurence and his family drove to their new home.,Laurence put all of their belongings back into the house.,1
8175fe68-8698-40ec-a14e-7fe61c43a17e,Joy wanted to find the perfect shell for her hermit crab.,"She could buy one, but it would be more special if she found it.",She scoured the beach all morning.,Everything that might work was broken!,She had to buy a shell after all.,So she brought one home and gave it to her crab.,1
cd83513d-dbe7-4931-badb-7adf2c0a1b95,Westin was getting married!,He wanted his wedding to go perfectly.,Everything went well until the evening.,Someone got very intoxicated and fell into the cake!,Westin cut a perfect slice from the cake.,Weston and his wife kicked out the intoxicated person.,2
91143c2a-eb2c-4524-8ff5-98c06aa46da2,Joe was helping his dad clear the woods in the back of their yard.,All of a sudden he heard loud buzzing.,He had stirred up a bee's nest.,He got stung six times before he could escape.,Joe laughed about the experience.,Joe was angry he got hurt.,2
3ed55cbe-f198-4d64-b083-4c27788cf82d,Tim had dreams of becoming a great bodybuilder.,He worked out every night to try to reach his goal.,His hard work paid off and he earned a spot in a popular contest.,"He showed his skills, lifting more than 250 lbs.",Tim was very determined.,Tim had little determination.,1
2928e9de-f40c-4851-8d2f-a8b70e106751,Henry was walking to his class.,"At the same time, he was trying to clean his phone screen with a cloth.","Unfortunately, someone bumped into him.",His phone fell out of his hand and landed on the ground.,The person apologized to Henry.,Henry was happy and thankful.,1
047d8c8e-c97e-408f-a29d-2d1650e82a18,Tami decided to attend volleyball tryouts.,"She was only in the 8th grade, but she knew she was good.",She played hard and gave it her all.,She hadn't anticipated the other players would be as good as her.,Tami made the basketball team.,All the players were good but she made the team.,2
202a3b75-1851-44dc-9162-4cd6123e5ef5,Bob and Jim were playing ball in the house one day.,They knocked over the vase and it broke into many pieces.,They were afraid their mom would get angry at them.,"They found some glue, and carefully glued the vase back together.","Their mom enjoyed her new, broken vase.",The glue held the vase together and their mom never found out.,2
69742aaa-ec73-4354-9de2-2ee4f8e19ec1,Steve was very sad.,Steve's girlfriend broke up with him.,He decided to write a song to her.,He poured his heart into the song.,Steve wondered if they could ever get back together.,Steve drove an hour away to go to a strip joint for drugs.,1
e7594236-eaed-46c5-8389-f1e099bd5e11,Lauren has always wanted to wear skinny jeans to parties.,"However, she needs to lose weight so the skinny jeans will look good.",Lauren begins a challenging exercise regimen.,Finally she has lost enough weight to wear skinny jeans.,She wore them proudly to the next party.,She was jealous.,1
81a217ff-717d-4416-a45b-25fe7be0d0fa,"Sonny lived in Texas, and it was a hot summer.",He was so sick of the heat.,He decided to find a way to cool off.,"At first, he couldn't think of anything.",He decided to go turn on his heaters.,He then decided to jump into his pool.,2
a94a118d-643c-434e-8a5b-626aff2969e1,"Ronald had two kids, a boy and a girl.",That was more than enough.,He really didn't want two to be honest.,One day his wife told him baby three was on the way.,He was deeply unhappy but afraid to leave.,His eyes glowed with excitement.,1
e56d5c8d-221c-4388-9a15-c38af332120c,I was taking a hike last Wednesday.,While walking I stumbled across something that scared me.,Their in front me was a 4 foot snake with beady eyes.,I screamed and ran all the way back to the main road.,I am a biologist who studies snakes.,I followed the road back to my car.,2
3bb6cd39-ddc2-4265-9119-3b7ec21417e9,Mary liked to drink coffee every morning.,Today she was in a hurry.,She went to a drive through coffee place.,She noticed the coffee was the wrong order after she drove away.,Mary crashed into a poll.,Mary kept driving and drank it anyway.,2
dad91d83-5774-4465-9256-0168882ff253,Billy wanted to become a doctor.,He went to college to become a doctor.,"After he graduated with his degree, he changed his mind.",Billy became a nurse instead of a doctor.,He never regretted his decision.,"He was so depressed, he became an alcoholic.",1
1edab233-bd17-466b-b096-763a79b68f7f,Quinton was getting evicted from his apartment.,He was broke with no income.,"One day, he decided to spend his last dollar on the lotto.","To his disbelief, he won $50,000!",Quinton felt depressed.,Quinton was so happy.,2
d1fdbb06-3fda-49a6-8987-4aa10930bb53,After Igor woke up he began to get ready for work.,He turned on the shower and waited for it to get hot.,The water remained cold.,He debated between taking a cold shower and not showering.,He ate a muffin.,Igor took a cold shower.,2
e04b2175-4e43-4660-a9bc-fbb0f0a2db6d,Tara preferred big band music to all alternatives.,She loved all the horns and other brass instruments involved.,She tried to find fellow big band lovers.,Her attempts were futile.,Tara still enjoyed listening on her own!,Tara was a mean girl.,1
dac28c5f-fbd7-48dc-810e-c5126ac2ac89,I traveled to Washington DC to visit my boyfriend.,We went many places around town.,But one place I wanted to go was the White House.,"He took me to the White House, and I was so happy.",We took the tour and enjoyed the history of the place.,We left the White House abruptly and did not take the tour.,1
61eaf272-ed42-4f8f-be21-d1f5d08232dd,My son bought a drum set for his one year old niece last fall.,"The set had drumsticks, a cymbal, and a seat.",His niece lives in NYC.,"She saw it when she visited, and was thrilled.",She hates music.,She wanted to play the drums.,2
15f0716f-58ba-42c1-8551-969e4fed73b8,Maggie had her first piano recital tonight.,She was very nervous.,When she got on stage she was shaking.,Thankfully she ended up playing perfectly.,Maggie was encouraged to do more.,Maggie gave up the piano.,1
9b84f608-dfbd-4e83-8f09-82371de7b597,I decided I wanted to sign up for a christmas club with my bank.,I called the teller and asked when i could do this.,She told me I could come in at any time.,I went in this morning and signed up for the plan.,I am glad I signed up.,I regret signing up.,1
549ab2c4-c609-4c30-b0b9-ce126b9cb78c,Mac had a vegan friend coming for dinner.,"He groaned, knowing he couldn't make steak or hamburgers.",Then he remembered an alfredo sauce recipe made with cashews.,"To his surprise, the sauce came out creamy and delicious.",He decided to serve meatloaf instead.,They all enjoyed the meal.,2
8752af72-d046-4b0c-b8f2-70b7830775fa,Ryan used to work for mall security.,He often worked the night shift.,"One day, he saw a raccoon in the mall.",He stared at it for hours until it left.,Ryan was blind.,Ryan decided his job was rather dull.,2
c578bb8a-96b3-4f9c-8e57-086bb7a1b4ec,Johnny's teacher treated the class to homemade snow cones.,The teacher let each student pick a colored syrup topping.,"When his turn came, Johnny got mad when he saw only one color left.",Johnny's teacher asked what was wrong.,Johnny told the teacher he was happy.,Johnny told the teacher he was upset he didn't get more colors.,2
2f54110e-3ffe-45b0-84af-58c6e04c9056,Jill convinced her boyfriend Joe to go look for Geocache with her.,He didn't think it sounded like fun but decided to humor her.,They searched the location where the Geocache was supposed to be.,After over an hour of searching they were unable to find it.,Jill hoped they would find it soon.,Jill was glad she did not bring Joe.,1
aff182db-fdb7-40d4-b5e1-b7832062b4c8,Brigid and her friend Ella both took piano lessons.,Ella's father bought her an expensive grand piano by a renowned maker.,Brigid's father could only afford to buy her a used upright piano.,But Ella was a foolish and insensitive girl who never practiced.,Ella did not ever become good at piano.,Ella then became a star piano player.,1
b25259c8-032f-41ee-b65d-91e191d79bee,Dave wanted buy a gun.,He went to the gun store and asked many questions.,He looked at big guns and little guns.,He decided he wanted to buy a big shotgun.,Dave was against the second amendment.,Dave bought it and enjoyed his purchase.,2
d3b8322e-701b-4fc9-9c22-19829846be51,Rose took a train to Long Island.,"There, she went to the very tip of the island.",She went to the beach at Montauk Point.,It was cold and windswept.,Rose was so warm that she took off her jacket.,Rose shielded her face from the wind.,2
0651e816-17ac-4226-9b7f-6391936ced7d,Drew was using a typewriter for a special project.,He tried to be careful since he couldn't erase his words.,"However, he ended up falling asleep.",His head landed on the keys and several letters were typed.,Drew was glad his project would be free of any mistakes.,Drew had to start typing the paper over again.,2
8eb0f3e2-f19f-46d6-8ad5-fef5aee976bf,Sarah always had a fascination with the night sky.,"Noticing her passion, Sarah's father bought her a new telescope.",She was ecstatic.,She went outside every night to diligently view the night sky.,Sarah's father took back the telescope.,Sarah loved her new telescope.,2
b5225b40-7c56-4569-907e-8ac547e7ed7b,Kristen was tired of her room.,She need to move it around for a change.,She hadn't moved it in over four Year's.,After moving everything she saw a huge stain where her bed covered.,Melanie decided that the room looked perfect now.,She decided to put a rug over the stain.,2
3a97e4bc-6cc7-4c33-bf8f-4f31ebca4e6e,My sister moved in with me when she was 35.,She'd been living with a wife beater in a rundown trailer park.,"The man tracked her down to my house one cold, dark night.",He broke into my house while we were sleeping.,We woke up to find him sneaking in the through a window.,"He sat down at the table with us, and we all had drinks.",1
8078b014-a08d-4e23-8c52-bc82316d7207,My parents fell out of love.,I'm not sure when it happened but it seems to have been mutual.,They decided to end things amicably.,Although I'm hurt by this I'm glad they chose what makes them happy.,My parents want to live together.,My parents was to live separate lives.,2
92eac3bf-1e5f-428e-bad3-52b72ff12be6,Anna was going to have a baby sibling.,Her mom went into the hospital and Anna was hopeful.,"She really wanted a little sister, but not a brother!","When her mom returned home with the baby, Anna was overjoyed.",The new baby was a boy.,The new baby was a girl.,2
90396c59-53e9-41fd-b6c2-fe87d57e0064,Monica decided to play Truth or Dare with her friends.,They were all afraid to confess anything and only picked Dare.,The Dares got progressively more elaborate as the day wore on.,Monica dared a friend to shoplift doritos and the friend did it.,Monica and her friends enjoyed the doritos before the next Dare.,Monica could not explain why her friend had stolen the doritos.,1
642a4773-0c58-41c4-85ed-c9544b642ded,Ray went to a friend's house for a sleepover.,He realized that he'd forgotten his toothbrush.,He was unable to brush his teeth!,"Ray tried to use toothpaste on his finger, but it was no use.","Finally, Ray  asked his friend if he had a spare toothbrush.",Ray did a good job brushing his teeth.,1
896f3a7a-76b3-4cf9-ac0b-286e62200f8e,Ellie had a lot of homework to do.,She started with her math homework.,"After she had finished that, she wrote a book report.","The last assignment was a study guide, which took her ten minutes.",Ellie was felt prepared for her schooling.,Ellie decided to skip school the next day because she was ahead.,1
792e9960-ab64-4b97-a921-5f2eae24af47,Don loved comic books.,He consistently collected issues of his favorite stories.,As he grew older his love for comics grew.,He decided that he wanted to start his own comic book company.,He named it Don's Comics.,Don threw his comics in the trash.,1
70a48e6f-a798-4f68-a865-4cecdac6c262,Arnold was scared of bats.,He thought that if they bite him he would turn into a vampire.,One day he saw a bat in his bathroom.,He freaked out so much he screamed.,Arnold took a relaxing shower with the bat.,The bat flew directly toward the source of the scream.,2
3afb1043-b5e5-4935-9d2a-819270164bec,Sean was homeless.,He begged for money on the streets.,"For one week, no one gave him money.",He was starving.,Sean decided to go to a shelter.,Sean eventually moved to a huge house.,1
8591a808-13de-487c-8468-0d49058b5ad3,Two hobos agreed to make dinner together.,Each set out to find ingredients.,The first returned with a worn boot.,The second returned with a gross of wing nuts.,They decided that they could not make a meal.,The two hobos ate their cheeseburgers.,1
7a3f8018-cb36-403d-b464-14f3a6872b70,Judy and Bill were preparing to have dinner with their parents.,Judy makes a roast with potatoes and rolls with gravy.,Bill sets the table and puts on some background music.,"The doorbell rings, it is their parents.",Judy and Bill were highly unprepared.,Judy and Bill were very prepared.,2
cca245f8-ea9f-4110-87c5-9b23b17ce789,Sal hurt his leg when his wife accidentally tripped him.,She felt so bad that she waited on him hand and foot.,She bought him food and gave him messages.,Sal liked all the attention.,Sal was furious with his wife.,Sal's leg eventually healed.,2
f5666b2f-ccbb-421c-ad5a-a0dd0e3cf52a,One weekend we wanted to see a movie with the kids.,There were two movies they wanted to see.,So we decided to divide and conquer.,Two kids and myself went to one and my husband and our son another.,"After that, we got a divorce.",Both groups had a great time seeing the movies they wanted.,2
e46e91fe-65e7-42f0-93ed-bebd23ff903c,Amy's sister took her to the beach to surf on her vacation.,Amy hurriedly suited up in her wetsuit.,The instructor was patient when Amy couldn't get the hang of it.,Finally it was time for Amy to try on her own.,Amy decided to go swimming.,Amy was surprised that she did a good job.,2
ca41e234-633f-4b0b-8f7f-7cca85b688ea,Kay built himself a raft.,"He used planks of scrap wood, and nails.",He worked hard on it all spring.,"Come summer, he tested it out in the lake.",Kay's raft floated.,Kay used the raft for firewood.,1
8683daa0-eb11-418c-b411-046283484c92,Max was a very bright boy.,But he would become lost in his own vivid imagination.,"No matter how hard he tried, he found himself daydreaming.",Max did not do very well in school.,Max consistently failed.,Max's teacher's praised his creativity.,1
8f7be9c8-a310-4319-9ae1-5c20b9b0f292,Gina was at a funeral for her grandpa.,"Gina watched as friends made remarks, and told stories about him.",The stories were funny and interesting.,Gina got a chance to see her grandpa in a different light.,She knew he was someone she would always remember.,She realized how boring his life was.,1
2c2e3bc5-3cda-4c6b-9173-41e4eeaf36c7,Ashley has felt sick all day today.,She feels like she is going to throw up.,She asks her boss if she can go home for the day.,Her boss lets her leave work.,Ashley went surfing.,Ashley went home and went to bed to get better.,2
cca36237-4d06-4282-b20a-47006348b0a2,Marley sleeps horribly every night.,She decides that she needs to get a new bed.,She went to the closest store but couldn't find a bed she liked.,She told her mom about her sleeping problems.,Her mom brought her to a sleep specialist.,Her mom gave her an alarm clock.,1
61d3fcb2-33e6-47c7-8ee2-80230d9a0717,Joe is an aspiring journalist.,But he's been feeling pretty frustrated by the news media.,"He considered going back to school, but decided against it.","Finally, he landed a well-paying job.",Joe could not find a job.,Joe was grateful and then went to work.,2
3be5ad30-ff57-4914-99b8-b89ae807bf6c,Lizzy lives on an island in the tropics.,Everyday they go to the banana plantation and get some.,Today Lizzy wanted to pick her own bananas.,She climbed the tall tree and realized how big the bunches were.,Lizzy decided she did not like bananas.,Lizzy needed help to get the bananas down.,2
b0646c99-45f2-4db5-bc83-e60e69b37387,In 1997 I rode on an old bus.,"A local group rented a 1957 transit bus, painted in old colors.",I rode on the bus as it went all over suburban Boston.,I took plenty of photos.,I am afraid of heights.,I had a great time!,2
a555794a-41f6-4893-9125-1a0a3a5445f1,Bryan wondered why his arms itched.,He scratched his arms until they left scars because it was so bad.,He finally went to the doctor and he found out he had poison ivy.,The doctor gave him ointment and some antibiotics.,Bryan went home in pain.,Bryan went home relieved.,2
418b31ba-eb1a-4986-b569-dafa82f58bc3,Tony and Mark were fierce rivals on the basketball court.,Everyday after school they would meet at the local blacktop to play.,They would always play one on one.,They were always so evenly matched.,Tony would blowout Mark.,The games were very close.,2
3213262c-8178-478f-9528-61fdc6f89dee,Becky and her friends decided to make some candy bars.,The got all the ingredients together and got to it.,The girls had a ton of fun.,When the candy cooled they put them in bags.,The girls decided they never wanted to make candy bars again.,Her friends suggested she should sell the candy at a bake sale.,2
900e1a7a-c221-4b15-9998-750301bd6a31,Robin went to the gym.,She worked out for 2 hours.,While at the gym she did arms and abs.,She was determined to get in shape.,She continued to work out for the rest of the year.,She went home and ate 3 cartons of ice cream.,1
89cbffbf-4258-47a7-944a-9241ec0c2f17,Rachelle worked hard to buy her first home.,She was very proud of her accomplishment.,"Unfortunately, she lost her job and eventually, her home.",She decided to stay in a hotel and find a new job.,She was happy at the turn of events.,She became depressed.,2
9b291170-7135-4249-9411-24c27a685414,Bill saved all his pocket change for 2 weeks last month.,It was for a sucker from the store.,He brought all his chance and bought the sucker.,Walking home he tripped and fell.,Bill thought he was the luckiest guy alive.,Bill was sad to see the sucker covered with dirt on the ground.,2
f5625636-c343-4673-8695-dd8f5ed5058e,Neil was visiting Romania.,He had just arrived and was excited to see Transylvania.,"When he got there, he saw gorgeous old castles.",He also found friendly locals.,Neil decided to never return to Transylvania.,Neil enjoyed visiting Transylvania.,2
4491c70f-158c-4c4b-b5ed-87b3812711f3,Last week a stunt double tried a new stunt.,It involved a big car crash.,Something went wrong and one of the safety harnesses snapped.,The stunt man was ejected from his seat.,The stunt man was paralyzed.,The stunt man loved it.,1
b666186a-9b57-42d0-adb8-96ccab629c82,"Pamela was so excited to finally have a boyfriend, Ralph.",Ralph never listened to what she said.,He rarely showed up on time.,He flirted too much with other girls.,Ralph then asked Pamela to marry her.,Pamela decided to break up with Ralph.,2
76e63073-9411-4974-b799-5d2d97b66955,Helen wanted to go to space.,She decided to become an astronaut.,She studied very hard.,She  passed all the tests!,Helen looked forward to her first mission.,Helen dreaded seeing outerspace.,1
9f211d53-a8ce-4dbb-9962-d0a7a431775c,Hailey liked to play with her friends.,She had a playdate every week.,One day Hailey's mom got in an argument with one of the other moms.,Hailey was told they were never going back.,Hailey was excited to see them all again tomorrow.,Hailey cried to think that she would not see her friends.,2
7afb9047-0f6b-42cc-9787-34aacba9d03b,Maybelle's breath always smelled like peppermints.,"Her house did as well, or at least that's what he remembers.",To this day he keeps peppermints in his cupboards.,They remind him of his grandma and what she meant to him.,He hates his grandmother.,It is a fond memory.,2
a7055395-54de-49ed-83dd-c185ea15d576,Valerie decided she wanted to learn German.,She signed up for a class to teach her.,"When she wasn't in class, she studied very hard.","Soon, she decided to practice speaking German with a German friend.",Valerie wanted to visit Germany.,Valerie hopes to live in Italy someday.,1
e45e2974-a14f-4f8b-b681-ca7cb37cd2ee,Tim just got a new phone.,He had dropped it a few time hours within getting it.,He decided he needed a case to protect his phone.,He went to the local store and purchased a waterproof phone case.,Tim's phone became ruined when he spilled water on it.,Tim didn't have to worry about dropping it in water anymore.,2
2f5c65fb-843e-4997-8140-13f5f38c9137,Gina's family pulled into a rest stop off the highway.,Gina got out and stretched her legs.,At the stop there was a gas station and a Burger King.,Gina normally didn't like Burger King's fries.,Gina walked down the highway without her family.,Gina was so hungry that the fries tasted good this time.,2
f3c5e059-72e7-412b-9248-80396c4e240a,I got a call late one night.,Thinking it was one of my friends I answered.,The woman who was on the other line was unfamiliar to me.,I asked who it was and why they were calling.,She said she was my long lost mother.,I said goodbye to the man on the phone.,1
